epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,734.933,0.45563,0.38245,0.8096,0.85201,0.68465,0.65308,0.55117,0.35816,0.36645,0.80849,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305
61,746.973,0.41369,0.34857,0.8072,0.85201,0.68465,0.65308,0.55117,0.35816,0.36645,0.80849,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
62,759.075,0.41318,0.37181,0.80801,0.84176,0.68224,0.65418,0.54968,0.36071,0.37857,0.80909,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299
63,771.187,0.40786,0.39471,0.82424,0.86382,0.68588,0.65267,0.55194,0.35843,0.37473,0.80915,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
64,783.488,0.44036,0.40346,0.81409,0.82919,0.68737,0.65457,0.54793,0.36184,0.37827,0.80883,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292
65,795.448,0.42437,0.32773,0.77374,0.82919,0.68737,0.65457,0.54793,0.36184,0.37827,0.80883,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
66,807.532,0.43743,0.36312,0.79854,0.85314,0.68737,0.65694,0.54883,0.35216,0.38004,0.80738,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
67,819.578,0.40536,0.31779,0.79665,0.84582,0.68391,0.65653,0.5526,0.35027,0.38004,0.80774,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
68,831.578,0.38823,0.32046,0.78848,0.84561,0.67834,0.65708,0.54744,0.35477,0.39304,0.80881,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279
69,843.374,0.46316,0.38568,0.81854,0.84561,0.67834,0.65708,0.54744,0.35477,0.39304,0.80881,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
