epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,2741.61,1.01301,1.95549,0.80026,0.99543,0.92857,0.99033,0.72754,1.0102,1.79524,0.84769,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,2775.25,0.93548,1.89272,0.77525,0.99546,0.92857,0.99033,0.7273,1.06158,1.81391,0.84926,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,2808.82,0.91885,1.69114,0.77413,0.99544,0.92857,0.99033,0.75842,1.00517,1.83013,0.84937,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,2842.39,0.85839,1.79783,0.78153,0.99545,0.92857,0.99033,0.74295,1.05546,1.88137,0.84873,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,2875.87,0.94332,1.8795,0.71396,0.99556,0.92857,0.99033,0.73604,1.08636,1.9027,0.84756,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,2908.83,0.86464,1.75566,0.79219,0.9955,0.92857,0.99033,0.71692,1.09906,1.89757,0.8468,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,2942.82,0.99489,1.70979,0.77023,0.99562,0.92857,0.99033,0.73702,1.08078,1.87921,0.84815,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,2976.21,0.9163,2.3539,0.79419,1,0.99532,0.995,0.74427,1.02969,1.87435,0.84775,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,3009.72,0.91246,2.34086,0.75232,1,0.99547,0.995,0.73211,1.02304,1.87874,0.849,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,3042.88,0.8722,2.29213,0.78714,1,0.99525,0.995,0.72941,1.02857,1.86665,0.84948,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,3075.64,0.86407,2.36532,0.72746,1,0.9949,0.995,0.7289,1.00932,1.84244,0.84973,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,3108.9,0.9623,2.27927,0.76483,1,0.99495,0.995,0.72845,1.01108,1.81832,0.85028,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,3142.09,0.89339,2.61156,0.78028,1,0.99469,0.995,0.7445,0.98971,1.81764,0.84955,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,3175.23,0.88439,2.53263,0.79669,0.99466,0.92857,0.99033,0.74325,0.99278,1.82404,0.84868,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,3208.51,0.94884,2.23869,0.78856,0.99471,0.92857,0.99033,0.74076,0.99346,1.83048,0.84769,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,3241.66,0.8664,2.32942,0.78324,0.9947,0.92857,0.99033,0.74343,0.98181,1.83494,0.84659,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,3274.53,0.85553,2.25764,0.76155,0.99465,0.92857,0.99033,0.74362,0.97366,1.83864,0.84589,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
