epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,1395.78,0.69654,1.57328,0.77935,1,0.99448,0.995,0.7962,1.00827,1.7082,0.86772,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
62,1419.24,0.74897,1.88513,0.81002,1,0.99472,0.995,0.78811,0.98849,1.65793,0.86449,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025
63,1442.59,0.73523,1.91946,0.8199,1,0.99472,0.995,0.78811,0.98849,1.65793,0.86449,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655
64,1466.08,0.69359,1.72019,0.8108,1,0.99466,0.995,0.795,0.99601,1.67095,0.86531,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075
65,1489.68,0.63764,1.84836,0.8075,1,0.99488,0.995,0.78811,1.00591,1.64893,0.86858,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
66,1513.22,0.74196,1.86573,0.83205,1,0.99502,0.995,0.78823,1.00344,1.62344,0.86776,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125
67,1536.73,0.65867,1.5015,0.79658,1,0.99502,0.995,0.78823,1.00344,1.62344,0.86776,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665
68,1560.31,0.69476,1.7655,0.82624,1,0.99509,0.995,0.78823,1.01792,1.61597,0.87086,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175
69,1583.9,0.68849,1.52269,0.82549,1,0.99529,0.995,0.77924,1.04894,1.62689,0.87699,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
70,1607.48,0.70862,1.7748,0.8153,1,0.99528,0.995,0.78823,1.05224,1.61726,0.87671,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225
71,1630.88,0.70843,2.18905,0.84941,1,0.99528,0.995,0.78823,1.05224,1.61726,0.87671,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675
72,1654.49,0.74442,2.41294,0.79461,1,0.99567,0.995,0.76846,1.08135,1.62906,0.88405,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275
73,1678,0.69234,2.16982,0.77261,1,0.99585,0.995,0.76895,1.09799,1.64571,0.88937,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
74,1701.54,0.7794,2.34731,0.80554,1,0.99647,0.995,0.7606,1.10209,1.65293,0.8889,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325
75,1725.17,0.67905,2.17781,0.81767,1,0.99647,0.995,0.7606,1.10209,1.65293,0.8889,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685
76,1748.73,0.61809,2.12341,0.80395,1,0.99645,0.995,0.77462,1.10757,1.66631,0.89142,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375
77,1772.1,0.69904,2.63638,0.77316,1,0.99716,0.995,0.77462,1.11282,1.67722,0.89444,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
78,1795.56,0.6415,2.20389,0.84115,1,0.99773,0.995,0.77462,1.11358,1.68033,0.89502,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05
79,1819.13,0.69089,2.12696,0.84393,1,0.99773,0.995,0.77462,1.11358,1.68033,0.89502,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05
80,1842.87,0.70462,2.10947,0.84654,1,0.99724,0.995,0.77462,1.11116,1.67962,0.8942,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05
